Código Interno Transferência;Mês / Ano;Tipo Transferência;Tipo Favorecido;Uf;Código Município Siafi;Nome Município;Código Orgão Siafi;Nome Orgão;Código Unidade Gestora;Nome Unidade Gestora;Código Função;Nome Função;Código SubFunção;Nome SubFunção;Código Programa;Nome Programa;Ação Orçamentária;Nome Ação;Linguagem Cidadã;Código Grupo Despesa;Nome Grupo Despesa;Código Modalidade Aplicação Despesa;Nome Modalidade Aplicação Despesa;Código Elemento Despesa;Nome Elemento Despesa;Código Plano Orçamentário;Nome Plano Orçamentário;Código SubTítulo;Nome SubTítulo;Código Localizador;Nome Localizador;Sigla Localizador;Descrição Complementar Localizador;Código Favorecido;Nome Favorecido;Valor Transferência
3385462;202503;Legais Voluntárias e Específicas;Administração Pública Municipal;;;;;;;;;;;;;;00PI;APOIO AO PROGRAMA NACIONAL DE ALIMENTACAO ESCOLAR (PNAE);Merenda Escolar;;Outras Despesas Correntes;;Transferências a Municípios;;Contribuições;;;;;;;;;;;2595175
3385463;202503;Legais Voluntárias e Específicas;Administração Pública Municipal;;;;;;;;;;;;;;00PI;APOIO AO PROGRAMA NACIONAL DE ALIMENTACAO ESCOLAR (PNAE);Merenda Escolar;;Outras Despesas Correntes;;Transferências a Municípios;;Contribuições;;;;;;;;;;;6117625
3385464;202503;Legais Voluntárias e Específicas;Administração Pública Municipal;;;;;;;;;;;;;;0969;APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA;PNATE;;Outras Despesas Correntes;;Transferências a Municípios;;Contribuições;;;;;;;;;;;29609090
3385465;202503;Legais Voluntárias e Específicas;Administração Pública Municipal;;;;;;;;;;;;;;0369;TRANSFERENCIA DAS QUOTAS ESTADUAL E MUNICIPAL DO SALARIO-EDUCACAO;Cota-parte dos Estados e DF do Salário-Educação;;Outras Despesas Correntes;;Transferências a Municípios;;Distribuição Constitucional ou Legal de Receitas;;;;;;;;;;;20216997
3386555;202503;Legais Voluntárias e Específicas;Entidades Sem Fins Lucrativos;;;;;;;;;;;;;;0515;DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA;PDDE;;Múltiplo;;Transferências a Municípios;;Múltiplo;;;;;;;;;;;2989200
3389560;202503;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;00US;APOIO AOS ENTES FEDERADOS POR MEIO DO INDICE DE GESTAO DESCENTRALIZADA DO PROGRAMA BOLSA FAMILIA E D;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;1682655
3389561;202503;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219E;ACOES DE PROTECAO SOCIAL BASICA;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;1431986
3389562;202503;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219F;ACOES DE PROTECAO SOCIAL ESPECIAL;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;479063
3389563;202503;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;8585;ATENCAO A SAUDE DA POPULACAO PARA PROCEDIMENTOS EM MEDIA E ALTA COMPLEXIDADE;TETO MAC;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;10408859
3389564;202503;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219A;PISO DE ATENCAO PRIMARIA A SAUDE;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;2850000
3389565;202503;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219A;PISO DE ATENCAO PRIMARIA A SAUDE;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;4635452
3389566;202503;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219A;PISO DE ATENCAO PRIMARIA A SAUDE;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;19329450
3389567;202503;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;00UC;TRANSFERENCIA AOS ENTES FEDERATIVOS PARA O PAGAMENTO DOS VENCIMENTOS DOS AGENTES COMUNITARIOS DE SAU;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;20644800
3389568;202503;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;20AE;PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE;FARMÁCIA BÁSICA;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;1729260
3389569;202503;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;20AL;APOIO AOS ESTADOS DISTRITO FEDERAL E MUNICIPIOS PARA A VIGILANCIA EM SAUDE;Vigilância em Saúde;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;866295
3389570;202503;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;00UB;TRANSFERENCIA AOS ENTES FEDERATIVOS PARA O PAGAMENTO DOS VENCIMENTOS DOS AGENTES DE COMBATE AS ENDEM;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;1518000
3374163;202409;Legais Voluntárias e Específicas;Administração Pública Municipal;;;;;;;;;;;;;;00PI;APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE);Merenda Escolar;;Outras Despesas Correntes;;Transferências a Municípios;;Contribuições;;;;;;;;;;;6169140
3374164;202409;Legais Voluntárias e Específicas;Administração Pública Municipal;;;;;;;;;;;;;;00PI;APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE);Merenda Escolar;;Outras Despesas Correntes;;Transferências a Municípios;;Contribuições;;;;;;;;;;;14894220
3375611;202409;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;8585;ATENCAO A SAUDE DA POPULACAO PARA PROCEDIMENTOS EM MEDIA E ALTA COMPLEXIDADE;TETO MAC;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;10408859
3375612;202409;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;20AL;APOIO AOS ESTADOS DISTRITO FEDERAL E MUNICIPIOS PARA A VIGILANCIA EM SAUDE;Vigilância em Saúde;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;827062
3375613;202409;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;00UB;TRANSFERENCIA AOS ENTES FEDERATIVOS PARA O PAGAMENTO DOS VENCIMENTOS DOS AGENTES DE COMBATE AS ENDEM;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;1412000
3375614;202409;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;20AB;INCENTIVO FINANCEIRO AOS ESTADOS DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA;Vigilância Sanitária;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;150800
3377320;202408;Legais Voluntárias e Específicas;Administração Pública Municipal;;;;;;;;;;;;;;00PI;APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE);Merenda Escolar;;Outras Despesas Correntes;;Transferências a Municípios;;Contribuições;;;;;;;;;;;2056380
3377321;202408;Legais Voluntárias e Específicas;Administração Pública Municipal;;;;;;;;;;;;;;00PI;APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE);Merenda Escolar;;Outras Despesas Correntes;;Transferências a Municípios;;Contribuições;;;;;;;;;;;4964740
3377322;202408;Legais Voluntárias e Específicas;Administração Pública Municipal;;;;;;;;;;;;;;0969;APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA;PNATE;;Outras Despesas Correntes;;Transferências a Municípios;;Contribuições;;;;;;;;;;;29333382
3377323;202408;Legais Voluntárias e Específicas;Administração Pública Municipal;;;;;;;;;;;;;;0369;TRANSFERENCIA DAS QUOTAS ESTADUAL E MUNICIPAL DO SALARIO-EDUCACAO;Cota-parte dos Estados e DF do Salário-Educação;;Outras Despesas Correntes;;Transferências a Municípios;;Distribuição Constitucional ou Legal de Receitas;;;;;;;;;;;18537871
3381798;202408;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;00UW;ASSISTENCIA FINANCEIRA COMPLEMENTAR AOS ESTADOS AO DISTRITO FEDERAL E AOS MUNICIPIOS PARA O PAGAMEN;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;9683373
3381799;202408;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;8585;ATENCAO A SAUDE DA POPULACAO PARA PROCEDIMENTOS EM MEDIA E ALTA COMPLEXIDADE;TETO MAC;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;10408859
3381800;202408;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219A;PISO DE ATENCAO PRIMARIA A SAUDE;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;1444065
3381801;202408;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219A;PISO DE ATENCAO PRIMARIA A SAUDE;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;4635452
3381802;202408;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219A;PISO DE ATENCAO PRIMARIA A SAUDE;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;5250000
3381803;202408;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219A;PISO DE ATENCAO PRIMARIA A SAUDE;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;19329450
3381804;202408;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;00UC;TRANSFERENCIA AOS ENTES FEDERATIVOS PARA O PAGAMENTO DOS VENCIMENTOS DOS AGENTES COMUNITARIOS DE SAU;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;19485600
3381805;202408;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;20AE;PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE;FARMÁCIA BÁSICA;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;1449450
3381806;202408;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;21GM;TRANSFORMACAO DIGITAL NO SUS;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;3754078
3381807;202408;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;20AL;APOIO AOS ESTADOS DISTRITO FEDERAL E MUNICIPIOS PARA A VIGILANCIA EM SAUDE;Vigilância em Saúde;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;827062
3381808;202408;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;00UB;TRANSFERENCIA AOS ENTES FEDERATIVOS PARA O PAGAMENTO DOS VENCIMENTOS DOS AGENTES DE COMBATE AS ENDEM;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;1412000
3381809;202408;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;20AB;INCENTIVO FINANCEIRO AOS ESTADOS DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA;Vigilância Sanitária;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;301600
3381795;202408;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;00US;APOIO AOS ENTES FEDERADOS POR MEIO DO INDICE DE GESTAO DESCENTRALIZADA DO PROGRAMA BOLSA FAMILIA E D;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;2040544
3381796;202408;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219E;ACOES DE PROTECAO SOCIAL BASICA;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;3375324
3381797;202408;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219F;ACOES DE PROTECAO SOCIAL ESPECIAL;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;1040000
3366681;202407;Legais Voluntárias e Específicas;Administração Pública Municipal;;;;;;;;;;;;;;00PI;APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE);Merenda Escolar;;Outras Despesas Correntes;;Transferências a Municípios;;Contribuições;;;;;;;;;;;2056380
3366682;202407;Legais Voluntárias e Específicas;Administração Pública Municipal;;;;;;;;;;;;;;00PI;APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE);Merenda Escolar;;Outras Despesas Correntes;;Transferências a Municípios;;Contribuições;;;;;;;;;;;4964740
3366683;202407;Legais Voluntárias e Específicas;Administração Pública Municipal;;;;;;;;;;;;;;0369;TRANSFERENCIA DAS QUOTAS ESTADUAL E MUNICIPAL DO SALARIO-EDUCACAO;Cota-parte dos Estados e DF do Salário-Educação;;Outras Despesas Correntes;;Transferências a Municípios;;Distribuição Constitucional ou Legal de Receitas;;;;;;;;;;;18386710
3371177;202407;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;00US;APOIO AOS ENTES FEDERADOS POR MEIO DO INDICE DE GESTAO DESCENTRALIZADA DO PROGRAMA BOLSA FAMILIA E D;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;1628508
3371178;202407;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219E;ACOES DE PROTECAO SOCIAL BASICA;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;1687662
3371179;202407;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219F;ACOES DE PROTECAO SOCIAL ESPECIAL;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;520000
3371180;202407;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;00UW;ASSISTENCIA FINANCEIRA COMPLEMENTAR AOS ESTADOS AO DISTRITO FEDERAL E AOS MUNICIPIOS PARA O PAGAMEN;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;9403153
3371181;202407;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;8585;ATENCAO A SAUDE DA POPULACAO PARA PROCEDIMENTOS EM MEDIA E ALTA COMPLEXIDADE;TETO MAC;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;10408859
3371182;202407;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219A;PISO DE ATENCAO PRIMARIA A SAUDE;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;1444065
